TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Annual Average 2022,UHF42,102,4,Northeast Bronx,5.9,6.2,6.0
Annual Average 2022,UHF42,103,4,Fordham - Bronx Pk,6.0,6.3,6.1
Annual Average 2022,UHF42,104,4,Pelham - Throgs Neck,5.7,6.5,6.1
Annual Average 2022,UHF42,105,4,Crotona -Tremont,6.0,6.5,6.2
Annual Average 2022,UHF42,106,4,High Bridge - Morrisania,5.8,6.3,6.1
Annual Average 2022,UHF42,107,4,Hunts Point - Mott Haven,5.5,6.7,6.2
Annual Average 2022,UHF42,201,4,Greenpoint,6.2,6.8,6.5
Annual Average 2022,UHF42,202,4,Downtown - Heights - Slope,6.0,6.8,6.4
Annual Average 2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,5.6,6.3,5.9
Annual Average 2022,UHF42,204,4,East New York,5.5,6.0,5.7
Annual Average 2022,UHF42,205,4,Sunset Park,5.5,6.8,6.2
Annual Average 2022,UHF42,206,4,Borough Park,5.5,5.8,5.7
Annual Average 2022,UHF42,207,4,East Flatbush - Flatbush,5.4,5.9,5.6
Annual Average 2022,UHF42,208,4,Canarsie - Flatlands,5.1,5.8,5.4
Annual Average 2022,UHF42,209,4,Bensonhurst - Bay Ridge,5.3,6.0,5.6
Annual Average 2022,UHF42,210,4,Coney Island - Sheepshead Bay,5.2,5.6,5.4
Annual Average 2022,UHF42,211,4,Williamsburg - Bushwick,5.9,6.9,6.4
Annual Average 2022,UHF42,301,4,Washington Heights,6.1,6.5,6.3
Annual Average 2022,UHF42,302,4,Central Harlem - Morningside Heights,6.1,6.4,6.2
Annual Average 2022,UHF42,303,4,East Harlem,6.0,6.3,6.1
Annual Average 2022,UHF42,304,4,Upper West Side,5.9,6.3,6.1
Annual Average 2022,UHF42,305,4,Upper East Side,6.1,6.8,6.4
Annual Average 2022,UHF42,306,4,Chelsea - Clinton,6.9,9.6,8.4
Annual Average 2022,UHF42,307,4,Gramercy Park - Murray Hill,6.8,9.2,7.9
Annual Average 2022,UHF42,308,4,Greenwich Village - SoHo,7.3,8.8,8.0
Annual Average 2022,UHF42,309,4,Union Square - Lower East Side,6.1,9.2,7.5
Annual Average 2022,UHF42,310,4,Lower Manhattan,6.6,7.6,7.1
Annual Average 2022,UHF42,401,4,Long Island City - Astoria,6.0,6.7,6.4
Annual Average 2022,UHF42,402,4,West Queens,5.8,6.7,6.2
Annual Average 2022,UHF42,403,4,Flushing - Clearview,5.5,6.4,5.9
Annual Average 2022,UHF42,404,4,Bayside - Little Neck,5.4,5.8,5.6
Annual Average 2022,UHF42,405,4,Ridgewood - Forest Hills,5.4,6.1,5.8
Annual Average 2022,UHF42,406,4,Fresh Meadows,5.4,5.6,5.5
Annual Average 2022,UHF42,407,4,Southwest Queens,5.3,5.8,5.5
Annual Average 2022,UHF42,408,4,Jamaica,5.3,6.1,5.6
Annual Average 2022,UHF42,409,4,Southeast Queens,5.2,5.5,5.4
Annual Average 2022,UHF42,410,4,Rockaways,4.9,5.2,5.0
Annual Average 2022,UHF42,501,4,Port Richmond,5.3,5.7,5.5
Annual Average 2022,UHF42,502,4,Stapleton - St. George,5.1,5.5,5.3
Annual Average 2022,UHF42,503,4,Willowbrook,5.1,5.4,5.2
Annual Average 2022,UHF42,504,4,South Beach - Tottenville,4.9,5.2,5.0
Annual Average 2022,UHF34,101,3,Kingsbridge - Riverdale,5.9,6.3,6.0
Annual Average 2022,UHF34,102,3,Northeast Bronx,5.9,6.2,6.0
Annual Average 2022,UHF34,103,3,Fordham - Bronx Pk,6.0,6.3,6.1
Annual Average 2022,UHF34,104,3,Pelham - Throgs Neck,5.7,6.5,6.1
Annual Average 2022,UHF34,201,3,Greenpoint,6.2,6.8,6.5
Annual Average 2022,UHF34,202,3,Downtown - Heights - Slope,6.0,6.8,6.4
Annual Average 2022,UHF34,203,3,Bedford Stuyvesant - Crown Heights,5.6,6.3,5.9
Annual Average 2022,UHF34,204,3,East New York,5.5,6.0,5.7
Annual Average 2022,UHF34,205,3,Sunset Park,5.5,6.8,6.2
Annual Average 2022,UHF34,206,3,Borough Park,5.5,5.8,5.7
Annual Average 2022,UHF34,207,3,East Flatbush - Flatbush,5.4,5.9,5.6
Annual Average 2022,UHF34,208,3,Canarsie - Flatlands,5.1,5.8,5.4
Annual Average 2022,UHF34,209,3,Bensonhurst - Bay Ridge,5.3,6.0,5.6
